LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	2002-09	100.9829682	
AUS	PASSCAR	TOT	IDX2015	M	2002-10	112.3224927	
AUS	PASSCAR	TOT	IDX2015	M	2002-11	109.9024013	
AUS	PASSCAR	TOT	IDX2015	M	2002-12	105.4531563	
AUS	PASSCAR	TOT	IDX2015	M	2003-01	93.11534412	
AUS	PASSCAR	TOT	IDX2015	M	2003-02	101.6368583	
AUS	PASSCAR	TOT	IDX2015	M	2003-03	116.1667148	
AUS	PASSCAR	TOT	IDX2015	M	2003-04	103.7893435	
AUS	PASSCAR	TOT	IDX2015	M	2003-05	115.5267868	
AUS	PASSCAR	TOT	IDX2015	M	2003-06	132.8397485	
AUS	PASSCAR	TOT	IDX2015	M	2003-07	119.7247146	
AUS	PASSCAR	TOT	IDX2015	M	2003-08	116.0457103	
AUS	PASSCAR	TOT	IDX2015	M	2003-09	120.4204909	
AUS	PASSCAR	TOT	IDX2015	M	2003-10	121.4234326	
AUS	PASSCAR	TOT	IDX2015	M	2003-11	112.818146	
AUS	PASSCAR	TOT	IDX2015	M	2003-12	115.9642649	
AUS	PASSCAR	TOT	IDX2015	M	2004-01	94.7442518	
AUS	PASSCAR	TOT	IDX2015	M	2004-02	111.4079774	
AUS	PASSCAR	TOT	IDX2015	M	2004-03	125.0256456	
AUS	PASSCAR	TOT	IDX2015	M	2004-04	102.5723167	
AUS	PASSCAR	TOT	IDX2015	M	2004-05	107.4334426	
AUS	PASSCAR	TOT	IDX2015	M	2004-06	135.6275076	
AUS	PASSCAR	TOT	IDX2015	M	2004-07	108.7272607	
AUS	PASSCAR	TOT	IDX2015	M	2004-08	113.2067569	
AUS	PASSCAR	TOT	IDX2015	M	2004-09	116.1434447	
AUS	PASSCAR	TOT	IDX2015	M	2004-10	121.6794038	
AUS	PASSCAR	TOT	IDX2015	M	2004-11	123.0709564	
AUS	PASSCAR	TOT	IDX2015	M	2004-12	113.2626051	
AUS	PASSCAR	TOT	IDX2015	M	2005-01	100.2359977	
AUS	PASSCAR	TOT	IDX2015	M	2005-02	117.8398357	
AUS	PASSCAR	TOT	IDX2015	M	2005-03	123.9877987	
AUS	PASSCAR	TOT	IDX2015	M	2005-04	108.5573889	
AUS	PASSCAR	TOT	IDX2015	M	2005-05	117.4279548	
AUS	PASSCAR	TOT	IDX2015	M	2005-06	141.438054	
AUS	PASSCAR	TOT	IDX2015	M	2005-07	114.0607699	
AUS	PASSCAR	TOT	IDX2015	M	2005-08	124.8394847	
AUS	PASSCAR	TOT	IDX2015	M	2005-09	121.2791579	
AUS	PASSCAR	TOT	IDX2015	M	2005-10	112.7064495	
AUS	PASSCAR	TOT	IDX2015	M	2005-11	122.7521559	
AUS	PASSCAR	TOT	IDX2015	M	2005-12	111.5685411	
AUS	PASSCAR	TOT	IDX2015	M	2006-01	101.8323272	
AUS	PASSCAR	TOT	IDX2015	M	2006-02	112.820473	
AUS	PASSCAR	TOT	IDX2015	M	2006-03	123.7690597	
AUS	PASSCAR	TOT	IDX2015	M	2006-04	98.44885327	
AUS	PASSCAR	TOT	IDX2015	M	2006-05	117.9398972	
AUS	PASSCAR	TOT	IDX2015	M	2006-06	132.7001278	
AUS	PASSCAR	TOT	IDX2015	M	2006-07	113.5534815	
AUS	PASSCAR	TOT	IDX2015	M	2006-08	121.074381	
AUS	PASSCAR	TOT	IDX2015	M	2006-09	119.5804399	
AUS	PASSCAR	TOT	IDX2015	M	2006-10	117.5885185	
AUS	PASSCAR	TOT	IDX2015	M	2006-11	120.655519	
AUS	PASSCAR	TOT	IDX2015	M	2006-12	112.5063266	
AUS	PASSCAR	TOT	IDX2015	M	2007-01	114.4633428	
AUS	PASSCAR	TOT	IDX2015	M	2007-02	122.4659335	
AUS	PASSCAR	TOT	IDX2015	M	2007-03	134.4011728	
AUS	PASSCAR	TOT	IDX2015	M	2007-04	104.969138	
